name,primalbound,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
cvxnonsep_normcon30,-34.24396574,-34.243965742743029,-34.243968726399672,0.028475537,1,0000,00,-34.13938525609633,-34.428749859066556,0.018439479637891054,12.47714383341372,1.945225859000001,544.1234435276128,113,235,70,84,30,-34.2275120670215,-34.428749859066556,0.017220955924130976,0.02325890597421676,2,2,0,2,1,-33.9875120670215,-34.281348953713525,0.018009780906140804,13.6528454371728,1.488159856,677.3597219865769,131,255,115,131,0,-34.2275120670215,-32.76694046368571,0.017438421957194805,0.01923852099571377,2,2,0,2,0
cvxnonsep_normcon40,-32.62966972,-32.629669718429504,-32.629672354984017,0.033069458,1,0000,00,-32.572757262433726,-32.88554272835089,0.02521307487040758,81.30444187298417,11.201780239000001,7040.51437164424,269,674,268,160,109,-32.6296697474825,-32.88554272835089,0.02459351997822523,0.02858152100816369,2,2,0,2,1,-32.436652102541586,-32.72391527109604,0.024968954734504223,32.08319917693734,3.4348903630000014,2354.6720339409076,203,336,181,203,0,-32.6296697474825,-31.16321875870223,0.025060123996809125,0.025923462002538145,2,2,0,2,0
cvxnonsep_nsig20,80.94929546,80.999857231192038,80.340555408788731,0.085984744,4,0010,30,80.9492946574176,80.81583433225808,0.01775754289701581,0.028763712383806705,0.025623,0.03815847774967551,2,2,0,2,0,80.9492946574176,80.81583433225808,0.013775872997939587,0.020580645999871194,2,2,0,2,1,80.9492946574176,80.81583433225808,0.01558287302032113,0.027592533268034458,0.024429,0.03612376609817147,2,2,0,2,0,80.9492946574176,80.9552327974796,0.015167167992331088,0.01791119808331132,2,2,0,2,0
cvxnonsep_nsig20r,80.94929546,80.989026230704965,80.711851496786849,0.174943293,4,0010,30,80.94927862502492,80.81581789826072,0.01923468802124262,0.03605974605306983,0.024665,0.03942383173853159,2,2,0,2,0,81.49159484565594,80.81581789826072,0.01666798908263445,0.12810998503118753,5,11,0,5,0,80.94927862502492,80.81581789826072,0.01807633088901639,0.035134981386363506,0.024179,0.03847826179116964,2,2,0,2,0,92.54757175177032,97.27747523667496,0.017598886974155903,0.02651629992760718,2,2,0,2,0
cvxnonsep_nsig30,130.6287126,130.960522840875,130.30354926105841,0.063447467,2,0000,30,130.65033700034454,130.47997176012416,0.018207678105682135,0.0319439647719264,0.040887,0.04234067443758249,2,2,0,2,0,130.65033700034454,130.47997176012416,0.017796376952901483,0.021401196951046586,2,2,0,2,0,130.65033700034454,130.47997176012416,0.017193270847201347,0.030334123875945807,0.037869,0.04025151487439871,2,2,0,2,0,130.65033700034454,130.64601883099732,0.01818387198727578,0.022031330969184637,2,2,0,2,0
cvxnonsep_nsig30r,156.4266874,156.89468005713294,155.99462477591624,0.129920212,3,0000,30,156.4266167111624,156.2343211644331,0.026910108979791403,0.041585979983210564,0.031808,0.042990030720829964,2,2,0,2,0,157.24837347429536,156.2343211644331,0.023583212052471936,0.1634247440379113,5,7,1,5,0,156.4266167111624,156.2343211644331,0.025638851802796125,0.04031715402379632,0.030515999999999998,0.04146046284586191,2,2,0,2,0,160.91797524260534,166.4432702819827,0.024026602040976286,0.08381471305619925,3,5,1,3,0
cvxnonsep_nsig40,133.9613305,134.32617080834663,134.32617080834663,0.073859026,2,0010,50,133.96132894832803,133.74494901551313,0.025003897957503796,0.0337666398845613,0.053259,0.046521729324012995,2,2,0,2,0,133.96132894832803,133.74494901551313,0.025280397036112845,0.03006953001022339,2,2,0,2,1,133.96132894832803,133.74494901551313,0.023931408766657114,0.03252417175099254,0.049517000000000005,0.044701522681862116,2,2,0,2,0,133.96132894832803,134.18791320377326,0.025361947948113084,0.026493526995182037,2,2,0,2,0
cvxnonsep_nsig40r,133.9613305,134.42248012388035,133.49480175494057,0.123382733,2,0000,50,133.96126813632867,133.74488859965595,0.03857826115563512,0.1507907109335065,0.056039,0.13998714927583933,2,2,0,2,0,134.61160703345774,133.74488859965595,0.03337625693529844,0.26039756496902555,4,10,1,4,0,133.96126813632867,133.74488859965595,0.034926146268844604,0.10591564606875181,0.028953,0.10575984744355083,2,2,0,2,0,134.61160703345774,135.62339756214482,0.03362017800100148,0.2579276979668066,4,10,1,4,0
cvxnonsep_pcon20,-21.5123012,-21.50052287035874,-21.710512997110659,0.040714526,1,0000,120,-21.469437905707228,-21.629610239291956,0.016441859304904938,0.03346706088632345,0.029219,0.04551889235153794,2,2,0,2,0,-21.469437905707228,-21.629610239291956,0.015617312048561871,0.01953148900065571,2,2,0,2,0,-21.469437905707228,-21.629610239291956,0.021260377950966358,0.029257501009851694,0.023803,0.04139711754396558,2,2,0,2,0,-21.469437905707228,-21.434820032615328,0.01499613409396261,0.019056209945119917,2,2,0,2,0
cvxnonsep_pcon20r,-21.5123012,-21.433368728362172,-21.520699950873642,0.073014204,2,0000,140,-21.46943786371748,-21.62961019921222,0.02543917577713728,0.037135057151317596,0.028615,0.04136843141168356,2,2,0,2,0,-21.46943786371748,-21.62961019921222,0.02254047291353345,0.02238825208041817,2,2,0,2,0,-21.46943786371748,-21.62961019921222,0.023265257943421602,0.036926780827343464,0.029231999999999998,0.04001546651124954,2,2,0,2,0,-21.46943786371748,-21.4348205714153,0.02239248005207628,0.021980504970997572,2,2,0,2,0
enpro48pb,187277.2594,187277.25616536423,186376.46609932542,0.164159481,2,0010,120,-inf,FAILED,CRASH,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,187277.2557618698,187276.8879150533,0.2382050029700622,1.2651081118965521,5,9,0,5,2,-inf,FAILED,CRASH,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,201345.66285889235,200546.14281126705,0.23874430102296174,0.26956688601057976,2,3,0,2,0
enpro56pb,263428.301,263428.2956682251,263427.91588394274,0.398923545,7,0010,150,263428.29664209305,263427.9016778617,7.222406566143036e-07,7.715176979079843,4.256803265,12.239536290057003,6,13,1,6,2,263428.2966417468,263427.3812130464,0.18164537602569908,2.0237712950911373,8,12,2,6,2,269933.0657796926,280468.44571369374,6.710179150104523e-07,1.8139907037839293,2.112439676,2.3170040319673717,3,6,1,3,0,320103.99298174295,369421.3966084784,0.18216965103056282,0.440266718971543,4,4,1,4,0
