id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
17,cvxnonsep_nsig40r.nl,134.61160703345774,133.74488859965595,0.03337625693529844,0.26039756496902555,4,10,1,4,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291956,0.015617312048561871,0.01953148900065571,2,2,0,2,0
19,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.02254047291353345,0.02238825208041817,2,2,0,2,0
20,enpro48pb.nl,187277.2557618698,187276.8879150533,0.2382050029700622,1.2651081118965521,5,9,0,5,2
21,enpro56pb.nl,263428.2966417468,263427.3812130464,0.18164537602569908,2.0237712950911373,8,12,2,6,2
22,ex1223.nl,4.579582373600571,4.579582373600571,0.019567803014069796,0.10075161699205637,6,11,0,3,4
23,ex1223b.nl,4.57958237379399,4.57958237379399,0.010568210971541703,0.09698983107227832,6,12,0,2,5
24,fac1.nl,160912612.2935292,160912612.2935292,0.013927900930866599,1.4621553919278085,2,3,1,2,1
25,fac2.nl,331837497.8380618,329739765.28796196,0.029473387054167688,0.04600215097889304,2,2,0,2,1
26,flay02h.nl,37.94733186289341,37.94733188293823,0.02764336101245135,0.10147774498909712,3,5,0,2,1
27,flay02m.nl,37.947331804570084,37.947327917031394,0.013280440005473793,0.03243388293776661,3,3,0,2,1
28,flay03h.nl,48.98979487314283,48.82646265530678,0.09961045801173896,2.441167810931802,7,23,0,2,5
29,flay03m.nl,48.98979474823483,48.8264471789434,0.020153532037511468,0.421411301009357,7,25,0,2,5
30,flay04h.nl,54.40588204046717,54.095693883981525,0.34980386099778116,11.939897014992312,8,30,0,3,6
31,flay04m.nl,54.405881916095694,53.95851560665894,0.03393813909497112,2.7121748049976304,8,36,0,2,6
32,flay05h.nl,64.49806202696796,63.94041780512232,0.90144419495482,272.35618434194475,11,46,0,2,9
33,flay05m.nl,64.4980618457532,63.94046827645549,0.05690517101902515,63.05715145904105,11,51,0,2,9
34,flay06h.nl,66.9328022146619,65.05391985888687,2.109565834980458,301.56443110795226,7,29,0,2,5
35,flay06m.nl,66.93280198843215,65.1906043539449,0.09113234397955239,300.43141862901393,8,36,0,2,6
36,fo7.nl,20.72982474132874,20.72981791072057,0.16545027901884168,97.74399292294402,5,21,18,3,3
37,fo7_2.nl,17.749345432133822,17.749084926637668,0.16299405507743359,106.45449617202394,6,23,15,2,5
38,fo7_ar25_1.nl,23.09356731010353,22.88697230834467,0.1987453589681536,127.93323074595537,5,21,10,5,3
39,fo7_ar2_1.nl,24.850423264155346,24.82643804538722,0.20378200407139957,89.03653070994187,3,11,0,3,2
40,fo7_ar3_1.nl,22.517470529413952,22.340041099314224,0.202259365003556,122.05916438892018,5,21,7,3,4
41,fo7_ar4_1.nl,20.729824793649666,20.59386804806453,0.20469619310460985,95.64960325101856,5,21,15,3,3
42,fo7_ar5_1.nl,17.749329045518934,17.749288849033533,0.20285520097240806,90.44127555494197,5,19,8,3,4
43,fo8.nl,22.381896239967848,22.381892212566356,0.2617902980418876,139.2075182099361,4,15,11,3,3
44,fo8_ar25_1.nl,28.04518123223058,27.80190162015084,0.32563819200731814,165.0466547840042,5,17,7,4,3
45,fo8_ar2_1.nl,30.345435071440292,30.1287586377829,0.3353487349813804,201.37950699799694,4,14,6,3,3
46,fo8_ar3_1.nl,23.91005333849995,23.90899975926892,0.3305455259978771,83.55217669799458,4,16,12,4,1
47,fo8_ar4_1.nl,22.38189642403303,22.38131441029091,0.33436140103731304,118.7675954690203,5,19,11,5,1
48,fo8_ar5_1.nl,22.381896415127837,22.371994046219147,0.3304214549716562,132.5236950829858,4,13,4,4,2
49,fo9.nl,23.464285518770428,23.464285518770428,0.40785290696658194,269.5216102520935,5,20,9,4,3
50,fo9_ar25_1.nl,33.599999947073734,31.44070433187473,0.5110245959367603,301.55282851099037,4,16,10,4,2
51,fo9_ar2_1.nl,32.62499994226375,32.62498302421497,0.5205103689804673,242.88230457203463,3,11,3,3,2
52,fo9_ar3_1.nl,24.81547611019813,24.81007371262333,0.5053590559400618,177.47652013099287,4,16,9,3,3
53,fo9_ar4_1.nl,23.46428560025007,23.46308954008754,0.5041791639523581,219.81214188109152,3,11,1,3,2
54,fo9_ar5_1.nl,23.464285641006025,23.39939379033858,0.5069822759833187,179.02837309497409,3,11,5,3,1
55,gear2.nl,2.727279702363975e-05,5.21215564152541e-15,0.025630956050008535,0.04305126809049398,2,6,0,2,1
56,gear3.nl,2.72645059771712e-08,2.72645059771712e-08,0.010520995943807065,0.024851088994182646,2,4,0,2,1
57,jit1.nl,173982.61006293277,173345.3768308797,0.016409927047789097,0.0250881320098415,2,3,0,2,0
