name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs
cvxnonsep_normcon30,-34.24396574,-34.24396574092516,0,0.05248631536960602,0.09704499999999999,0,0,-34.2275120670215,-34.428749859066556,0.017220955924130976,0.02325890597421676,2,2,0,2,1,-34.23926411367677,-34.24642479015976,0.014382,-34.23043478999999,-34.26189063375,0.017483000000000002,-34.243965742743029,-34.243968726399672,0.028475537,1,0000,00
cvxnonsep_normcon40,-32.62966972,-32.629669716769314,0,0.07080560084432364,0.16576300000000005,0,0,-32.6296697474825,-32.88554272835089,0.02459351997822523,0.02858152100816369,2,2,0,2,1,-32.62966848824743,-32.63323863687672,0.015177,-32.629655769396265,-32.62966975433859,0.04937599999999996,-32.629669718429504,-32.629672354984017,0.033069458,1,0000,00
cvxnonsep_nsig20,80.94929546,80.94929545987223,0,0.04136878065764904,0.04750599999999999,0,0,80.9492946574176,80.81583433225808,0.013775872997939587,0.020580645999871194,2,2,0,2,1,81.5817021116515,80.76929550587813,0.036597000000000005,80.9651940805831,80.17169218132975,38.982749999999996,80.999857231192038,80.340555408788731,0.085984744,4,0010,30
cvxnonsep_nsig20r,80.94929546,80.9492954596234,0,0.04646598547697067,0.04117,0,0,81.49159484565594,80.81581789826072,0.01666798908263445,0.12810998503118753,5,11,0,5,0,81.27573104790591,80.68998022595089,0.028103,81.0814978336423,80.94899210294963,0.061873,80.989026230704965,80.711851496786849,0.174943293,4,0010,30
cvxnonsep_nsig30,130.6287126,130.62871264096864,0,0.05923274718225002,0.10607000000000001,0,0,130.65033700034454,130.47997176012416,0.017796376952901483,0.021401196951046586,2,2,0,2,0,130.73847192950646,129.4357201495071,0.037924,131.3243854397202,110.1217857903046,301.154833,130.960522840875,130.30354926105841,0.063447467,2,0000,30
cvxnonsep_nsig30r,156.4266874,156.42667285391616,0,0.07904196437448263,0.08656400000000017,0,0,157.24837347429536,156.2343211644331,0.023583212052471936,0.1634247440379113,5,7,1,5,0,156.78668563904648,155.3959024049933,0.04248,157.01569379227624,156.4216247519655,0.082015,156.89468005713294,155.99462477591624,0.129920212,3,0000,30
cvxnonsep_nsig40,133.9613305,133.96133047158767,0,0.07919127494096756,0.19080800000000006,0,0,133.96132894832803,133.74494901551313,0.025280397036112845,0.03006953001022339,2,2,0,2,1,134.44675364149853,133.1074405799876,0.053203,137.6722249201577,107.4435506803869,301.61655,134.32617080834663,134.32617080834663,0.073859026,2,0010,50
cvxnonsep_nsig40r,133.9613305,133.9613304719259,0,0.08142508938908577,0.09649899999999993,0,0,134.61160703345774,133.74488859965595,0.03337625693529844,0.26039756496902555,4,10,1,4,0,134.48133896286527,133.164401089979,0.046742,135.27978182853946,133.9610287691967,0.06272000000000003,134.42248012388035,133.49480175494057,0.123382733,2,0000,50
cvxnonsep_pcon20,-21.5123012,-21.500522852152997,0,0.038420652970671654,0.048122,0,0,-21.469437905707228,-21.629610239291956,0.015617312048561871,0.01953148900065571,2,2,0,2,0,-21.512301213072213,-21.72727260854014,115.762629,-21.492947436554825,-21.49294743655483,0.042355,-21.50052287035874,-21.710512997110659,0.040714526,1,0000,120
cvxnonsep_pcon20r,-21.5123012,-21.50052285200933,0,0.03578981477767229,0.041863,0,0,-21.46943786371748,-21.62961019921222,0.02254047291353345,0.02238825208041817,2,2,0,2,0,-21.430580425748875,-21.63845628268142,0.028019,-21.29713726111562,-21.49482207893577,0.015681999999999998,-21.433368728362172,-21.520699950873642,0.073014204,2,0000,140
enpro48pb,187277.2594,187277.25942219957,0,5.1830393970012665,2.541075000000003,0,0,187277.2557618698,187276.8879150533,0.2382050029700622,1.2651081118965521,5,9,0,5,2,187277.2594222011,185668.9682365131,0.24979099999999999,187277.25719341173,187092.1518504411,2.038722,187277.25616536423,186376.46609932542,0.164159481,2,0010,120
enpro56pb,263428.301,263428.30097276496,0,7.723541612736881,3.4058730000000703,0,0,263428.2966417468,263427.3812130464,0.18164537602569908,2.0237712950911373,8,12,2,6,2,263428.3009726979,260839.8465143262,0.33037099999999997,263428.2990215177,263428.2990215819,3.273621,263428.2956682251,263427.91588394274,0.398923545,7,0010,150
ex1223,4.579582402,4.579582402486655,0,0.05165221355855465,0.041718000000000005,0,0,4.579582373600571,4.579582373600571,0.019567803014069796,0.10075161699205637,6,11,0,3,4,4.579582402436707,4.53417292810631,0.011578999999999999,4.579582402433536,4.576289805208791,0.025511000000000002,4.5795824024367082,4.5795824024367082,0.014877412,0,0000,20
ex1223b,4.579582402,4.5795824024866585,0,0.04498013202100992,0.030333999999999972,0,0,4.57958237379399,4.57958237379399,0.010568210971541703,0.09698983107227832,6,12,0,2,5,4.579582402436707,4.53417292810631,0.011551,4.579582402433536,4.579579810008479,0.024678,4.579635269139426,4.5793982997816745,0.01396059,0,0000,20
fac1,160912612.4,160912612.35017818,0,0.02561672404408455,0.024391000000000003,0,0,160912612.2935292,160912612.2935292,0.013927900930866599,1.4621553919278085,2,3,1,2,1,160912612.350169,160910848.960797,0.014695,160912612.350169,160912612.350169,0.017181000000000002,160912612.350169,160905031.08390373,0.04148756000000001,1,0000,240
fac2,331837498.2,331837498.1767665,0,0.4962905431166291,0.27027100000000637,0,0,331837497.8380618,329739765.28796196,0.029473387054167688,0.04600215097889304,2,2,0,2,1,331837498.17677003,331290765.1918598,0.017477,FAILED,failure,0.053916,331837498.17677003,331837498.17676985,0.07942441900000001,1,0010,210
