name,primalbound,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
prob10,3.445503794,3.4455037882283115,3.4455037882283115,0.017268083058297634,0.05024248082190752,0.025559000000000005,0.06349488953128457,2,3,0,2,1,3.4455037882283115,3.4455037882283115,0.025936519959941506,0.02617887791711837,2,3,0,2,1,3.4455037882283115,5.058833021833472,0.10120859928429127,0.04288683878257871,0.019163000000000003,0.06241639191284776,2,3,0,2,0,3.4455037882283115,5.058833021833827,0.022397371008992195,0.020080372923985124,2,3,0,2,0
ravempb,269590.2193,269590.2148658474,268126.99798464845,0.1588348289951682,5.54021830111742,2.7310958179999996,12.090081771835685,6,13,5,5,3,269590.2148658474,268012.4723835932,0.127726101083681,0.632603383040987,5,11,2,3,3,269590.2148658474,269590.2148658474,0.15197347989305854,1.562083221040666,1.7039338639999997,1.7134400187060237,3,7,3,3,0,408185.7476037521,482269.8297135248,0.11400242208037525,0.14010502502787858,2,3,1,2,0
sssd08-04,182022.5703,183078.7807917836,183078.7807917836,0.048689514864236116,1.1128096268512309,1.5018555280000003,1.3751538749784231,5,16,0,5,3,182429.4007104114,182429.4007104114,0.04737258795648813,0.4688399320002645,4,13,0,4,2,203282.75537879742,203282.75537879742,0.04312937706708908,0.26211832324042916,1.010012,0.27914606779813766,3,6,0,3,0,203282.75537879742,203123.24298521035,0.0628631409490481,0.09058465191628784,2,3,0,2,0
sssd12-05,281408.6352,283776.8489546579,283776.8489546579,0.07765048230066895,3.355684878770262,2.8134293129999994,6.03251692187041,7,23,0,7,3,284813.21332350577,284813.21332350577,0.08116683305706829,2.245104486006312,7,27,0,4,5,308879.22980721237,308879.22980721237,0.07236621296033263,0.4192867409437895,0.9112158929999999,0.5489499843679368,3,10,0,3,0,297461.8503904987,303120.53693646984,0.07778962806332856,0.27492344297934324,3,7,0,3,0
sssd15-04,205054.4585,206655.48005892552,204959.37629146385,0.07310891430824995,1.6156813059933484,1.6782359570000005,3.351562222931534,6,18,0,6,3,205160.9670841025,205120.91883973143,0.07517935102805495,0.797581675928086,5,18,0,3,4,208844.24894348416,208844.24894348416,0.06698446813970804,0.20898836106061935,0.565011,0.1983578996732831,2,4,0,2,0,208844.24894348416,208844.24894348416,0.07218963699415326,0.12123616994358599,2,3,0,2,0
sssd15-06,539635.4697,540078.355968095,540078.355968095,0.15051741199567914,2.9318229760974646,2.7752839230000004,5.701296431943774,7,22,0,7,3,550589.8792964717,547091.0240900626,0.15810933301690966,1.330101390951313,5,17,0,4,3,624230.8179685622,624230.8179685622,0.14515011617913842,0.7063859291374683,1.1548381319999996,1.1542270323261619,4,11,0,4,0,569702.5619496532,845127.5948874622,0.14362920098938048,0.26705936703365296,3,8,0,3,0
sssd15-08,562617.8818,571052.0756145642,571052.0756145642,0.3526618951000273,9.529193661175668,9.114797571,15.72731701657176,7,23,0,7,3,582285.0427675139,578019.1031370021,0.2862240500980988,82.01683108601719,9,31,0,8,4,687691.949988223,687691.949988223,0.2978351451456547,0.6010847608558834,1.0919767580000002,0.7897422523237765,3,10,0,3,0,1920795.1036566214,3193285.306107027,0.28724640398286283,0.6731446720659733,3,5,0,3,0
sssd16-07,417188.8105,422534.4953501371,422534.4953501371,0.23093786602839828,6.812904786784202,6.451459415,10.034760328009725,7,24,0,7,3,430659.23017758306,430658.88123137935,0.23791488294955343,2.409452295047231,6,23,0,3,5,434070.58663592837,434070.58663592837,0.23878637608140707,1.8176854248158634,2.1484580510000004,4.376161598600447,5,14,0,5,0,459612.10119230323,499361.9731529108,0.2331026189494878,0.36549865605775267,2,3,0,2,0
sssd18-06,397992.2951,399180.9995318399,399180.9995318399,0.19142838986590505,8.009960433002561,7.878545182000001,13.302808746229857,7,24,0,7,3,398454.3718719499,398454.3718719499,0.2056555369636044,1.654866329045035,6,15,0,5,3,445695.9521749801,445695.9521749801,0.20701158791780472,0.5020771268755198,1.075288188,0.5476463958621025,3,10,0,3,0,527794.6422604995,696650.3471356971,0.19971248495858163,0.18122012994717807,3,3,0,3,0
sssd18-08,832795.5852,842892.9424938629,842892.8258674345,0.441735097207129,3.719266125932336,3.4300266769999994,6.988583805505186,6,24,0,6,3,840013.7897069036,838842.7154616205,0.42639631498605013,5.490761821973138,6,19,0,5,3,1042959.5294026469,1042959.5294026469,0.4615339678712189,0.6236572228372097,1.1520832369999998,0.7113151880912483,3,11,0,3,0,1441203.5842738224,3690525.3049361594,0.4228888429934159,0.3262437330558896,3,4,0,3,0
