id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,4stufen.nl,-inf,FAILED,"Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:361:
Error in Function::operator() for 'benders_constraint_0_qpsol' [GurobiInterface] at .../casadi/core/function.cpp:1513:
.../casadi/core/conic.cpp:497: Assertion ""lb <= ub && lb!=inf && ub!=-inf"" failed:
Ill-posed problem detected: LBA[1] <= UBA[1] was violated. Got LBA[1] = nan and UBA[1] = nan."
71,heatexch_spec1.nl,154997.33363762926,154997.3329880176,0.07094956701621413,0.2677936799591407,3,9,0,3,2
72,heatexch_spec2.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
73,heatexch_spec3.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
74,hybriddynamic_var.nl,1.536415142589554,1.536415142589554,1.2029748940840364,0.05058514804113656,2,2,0,2,1
75,johnall.nl,-224.73016203509988,-224.73016203487933,8.461848011938855,0.7551623369799927,2,2,0,2,0
76,kport20.nl,34.829465088793114,31.101350954151687,0.5347203790443018,300.2152910470031,107,527,525,2,106
77,kport40.nl,38.176407261755074,37.392370836921984,0.35795301699545234,300.04844266199507,61,291,279,2,60
78,nvs01.nl,12.46966882156821,12.46966882156821,0.0297239669598639,0.031946518924087286,2,5,2,2,1
79,nvs05.nl,5.470934109132358,7.1629251988940785,0.016874316963367164,0.3747295719804242,4,5,2,3,3
80,nvs08.nl,23.4497273467636,23.4497273467636,0.011326050036586821,0.020877673057839274,2,4,0,2,1
81,nvs20.nl,230.92216293970984,229.7077380220426,0.025182285928167403,0.07990145694930106,4,9,0,2,3
82,nvs21.nl,-4.952077315682856,-4.952077315682856,0.011741976020857692,0.05011814704630524,4,7,1,3,3
83,nvs22.nl,6.05822,6.05822,0.016907242010347545,0.0662481039762497,3,6,2,2,2
84,oaer.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
85,ortez.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
86,parallel.nl,924.2915486852484,924.2907979501688,0.19973671901971102,0.4138964799931273,2,4,0,2,1
87,pooling_epa1.nl,-inf,FAILED,"Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:361:
Error in Function::operator() for 'benders_constraint_0_qpsol' [GurobiInterface] at .../casadi/core/function.cpp:1513:
.../casadi/interfaces/gurobi/gurobi_interface.cpp:470: Assertion ""!flag"" failed:
Objective Q not PSD (diagonal adjustment of 1.6e+00 would be required). Set NonConvex parameter to 2 to solve model."
88,pooling_epa2.nl,-3433.6788485297084,-1384.0154195402029,1.750281885964796,7.781011604005471,2,3,1,2,2
89,prob10.nl,3.4455037882283115,3.4455037882283115,0.05101622606161982,0.024721112102270126,2,3,0,2,1
90,procsel.nl,-1.411002128193271,-1.411002128193271,0.010227824910543859,0.016866147983819246,2,2,0,2,1
91,sfacloc1_2_90.nl,18.031338030087827,17.986142302905705,0.2367286829976365,0.32127209391910583,2,4,0,2,1
92,sfacloc1_2_95.nl,18.850070175441356,18.85007020949694,0.14615823898930103,0.18215826607774943,2,2,0,2,0
93,sfacloc1_3_90.nl,11.900051431868313,11.900051431868313,0.348542248015292,0.3654553589876741,2,2,0,2,1
94,sfacloc1_3_95.nl,12.456719378172272,12.456719419609989,0.22706924797967076,0.2722267999779433,2,2,0,2,0
95,sfacloc1_4_90.nl,11.145754337157246,11.859855241614245,0.44312661699950695,0.6757493159966543,2,2,0,2,0
96,sfacloc1_4_95.nl,11.256016108211245,11.682879156374616,0.3106125579215586,0.5554271049331874,2,2,0,2,0
97,sfacloc2_2_90.nl,18.779944943174286,18.662414372471204,0.36019577900879085,0.34520499396603554,2,4,0,2,1
98,sfacloc2_2_95.nl,19.82556521676093,19.825565216760925,0.2054926409618929,0.2699055620469153,2,4,0,2,1
99,sfacloc2_3_90.nl,15.80347036590109,15.796934833880789,0.5317688159411773,0.5597784699639305,2,5,0,2,1
100,sfacloc2_3_95.nl,16.729037141363168,16.729037141363168,0.3777591789839789,0.302233602036722,2,2,0,2,1
101,sfacloc2_4_90.nl,20.410820069452235,20.565120782604758,0.7297391829779372,0.6372027490288019,3,5,0,3,1
102,sfacloc2_4_95.nl,25.174087929348566,25.174087929348566,0.5343220109352842,0.31067674700170755,2,2,0,2,1
103,spring.nl,0.8688286159021199,0.8688286159021199,0.03817648906260729,0.10814864898566157,3,8,1,3,2
