id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
87,p_ball_20b_5p_3d_h.nl,24.65563085073893,38087659.83981327,1.1699906189460307,17.890566763002425,3,11,7,3,0
88,p_ball_30b_5p_2d_h.nl,19.70822483635488,122327267215.89394,1.5699904990615323,86.22196258290205,5,21,15,5,0
89,portfol_buyin.nl,0.02942379478242373,0.03347902308481672,0.17187880200799555,0.05450429697521031,2,3,0,2,0
90,portfol_card.nl,0.032217664503262265,0.03347278755158332,0.13259010994806886,0.05126007192302495,2,3,0,2,0
91,portfol_roundlot.nl,0.15215896989292704,0.15215896989292704,0.12201300100423396,1.2195649649947882,22,25,20,22,0
92,prob10.nl,3.4455037882283115,5.058833021833827,0.022397371008992195,0.020080372923985124,2,3,0,2,0
93,ravempb.nl,408185.7476037521,482269.8297135248,0.11400242208037525,0.14010502502787858,2,3,1,2,0
94,sssd08-04.nl,203282.75537879742,203123.24298521035,0.0628631409490481,0.09058465191628784,2,3,0,2,0
95,sssd12-05.nl,297461.8503904987,303120.53693646984,0.07778962806332856,0.27492344297934324,3,7,0,3,0
96,sssd15-04.nl,208844.24894348416,208844.24894348416,0.07218963699415326,0.12123616994358599,2,3,0,2,0
97,sssd15-06.nl,569702.5619496532,845127.5948874622,0.14362920098938048,0.26705936703365296,3,8,0,3,0
98,sssd15-08.nl,1920795.1036566214,3193285.306107027,0.28724640398286283,0.6731446720659733,3,5,0,3,0
99,sssd16-07.nl,459612.10119230323,499361.9731529108,0.2331026189494878,0.36549865605775267,2,3,0,2,0
100,sssd18-06.nl,527794.6422604995,696650.3471356971,0.19971248495858163,0.18122012994717807,3,3,0,3,0
101,sssd18-08.nl,1441203.5842738224,3690525.3049361594,0.4228888429934159,0.3262437330558896,3,4,0,3,0
102,sssd20-04.nl,360971.51933131006,504097.896662873,0.10640763491392136,0.13743542891461402,2,2,0,2,0
103,sssd20-08.nl,1791155.1860896903,2809433.6191773773,0.5370124110486358,0.6423405730165541,3,3,0,3,0
104,sssd22-08.nl,1417211.2762818723,1733321.2317693376,0.6867861669743434,0.5325909979874268,3,4,0,3,0
105,sssd25-04.nl,303467.79264071025,303467.79264071025,0.15061108791269362,0.14385748805943877,2,3,0,2,0
106,sssd25-08.nl,499196.15662896674,655676.1635837981,0.9604944539023563,1.487599399057217,2,4,0,2,0
107,st_e14.nl,5.579582371286729,5.564873814428035,0.022841566940769553,0.015400164062157273,2,2,0,2,0
108,stockcycle.nl,138613.84292365523,141583.4636771308,9.379395790980197,0.2990343550918624,2,5,0,2,0
109,synthes1.nl,6.009758726704932,5.979494993945212,0.027273584972135723,0.019682649988681078,2,3,0,2,0
110,synthes2.nl,73.03531205058363,73.03531205058363,0.013689176994375885,0.030122851952910423,2,4,0,2,0
111,synthes3.nl,68.00974074385655,80.59119015822867,0.02030688605736941,0.04003154602833092,2,4,0,2,0
112,tls2.nl,5.299999919921546,5.299999919921546,0.041268832981586456,0.2571456750156358,4,12,9,4,0
113,tls4.nl,8.399999944886087,12.460364415234194,0.14927457296289504,98.57316530204844,33,161,158,33,0
