name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmilp.obj,cvx_sbmilp.dual_obj,cvx_sbmilp.load_time,cvx_sbmilp.calc_time,cvx_sbmilp.solver_time,cvx_sbmilp.python_time,cvx_sbmilp.iter_nr,cvx_sbmilp.NLP_runs,cvx_sbmilp.FNLP_runs,cvx_sbmilp.MIQP_runs,cvx_sbmilp.MILP_runs,cvx_shot.obj,cvx_shot.calctime,cvx_shot.nr_milp,cvx_shot.nr_nlp
cvxnonsep_normcon30,-34.24396574,-34.24396574092516,0,0.05248631536960602,0.09704499999999999,0,0,-34.13938525609633,-34.428749859066556,0.018439479637891054,12.47714383341372,1.945225859000001,544.1234435276128,113,235,70,84,30,-33.9875120670215,-34.281348953713525,0.018009780906140804,13.6528454371728,1.488159856,677.3597219865769,131,255,115,131,0,-34.1609243501052,-34.428749859066556,0.017568103969097137,7.3086937493644655,1.7623591579999989,165.22915907716379,63,247,41,0,62,-34.243965742743029,0.028475537,0,1
cvxnonsep_normcon40,-32.62966972,-32.629669716769314,0,0.07080560084432364,0.16576300000000005,0,0,-32.572757262433726,-32.88554272835089,0.02521307487040758,81.30444187298417,11.201780239000001,7040.51437164424,269,674,268,160,109,-32.436652102541586,-32.72391527109604,0.024968954734504223,32.08319917693734,3.4348903630000014,2354.6720339409076,203,336,181,203,0,-32.6035177993019,-32.88554272835089,0.025368796661496162,71.34318722598255,24.065451378000002,3411.6562819960527,177,736,136,0,176,-32.629669718429504,0.033069458,0,1
cvxnonsep_nsig20,80.94929546,80.94929545987223,0,0.04136878065764904,0.04750599999999999,0,0,80.9492946574176,80.81583433225808,0.01775754289701581,0.028763712383806705,0.025623,0.03815847774967551,2,2,0,2,0,80.9492946574176,80.81583433225808,0.01558287302032113,0.027592533268034458,0.024429,0.03612376609817147,2,2,0,2,0,80.9492946574176,80.81583433225808,0.018169458955526352,0.0294962115585804,0.029018999999999996,0.038093569688498974,2,2,0,0,1,80.999857231192038,0.085984744,4,4
cvxnonsep_nsig20r,80.94929546,80.9492954596234,0,0.04646598547697067,0.04117,0,0,80.94927862502492,80.81581789826072,0.01923468802124262,0.03605974605306983,0.024665,0.03942383173853159,2,2,0,2,0,80.94927862502492,80.81581789826072,0.01807633088901639,0.035134981386363506,0.024179,0.03847826179116964,2,2,0,2,0,80.94927862502492,80.81581789826072,0.019742929376661777,0.03721604263409972,0.030169,0.03905013157054782,2,2,0,0,1,80.989026230704965,0.174943293,4,4
cvxnonsep_nsig30,130.6287126,130.62871264096864,0,0.05923274718225002,0.10607000000000001,0,0,130.65033700034454,130.47997176012416,0.018207678105682135,0.0319439647719264,0.040887,0.04234067443758249,2,2,0,2,0,130.65033700034454,130.47997176012416,0.017193270847201347,0.030334123875945807,0.037869,0.04025151487439871,2,2,0,2,0,130.65033700034454,130.47997176012416,0.01950300019234419,0.0321964411996305,0.043433,0.042354533448815346,2,2,0,0,1,130.960522840875,0.063447467,3,2
cvxnonsep_nsig30r,156.4266874,156.42667285391616,0,0.07904196437448263,0.08656400000000017,0,0,156.4266167111624,156.2343211644331,0.026910108979791403,0.041585979983210564,0.031808,0.042990030720829964,2,2,0,2,0,156.4266167111624,156.2343211644331,0.025638851802796125,0.04031715402379632,0.030515999999999998,0.04146046284586191,2,2,0,2,0,156.4266167111624,156.2343211644331,0.02846181718632579,0.044782171957194805,0.034234,0.043902342673391104,2,2,0,0,1,156.89468005713294,0.129920212,3,3
cvxnonsep_nsig40,133.9613305,133.96133047158767,0,0.07919127494096756,0.19080800000000006,0,0,133.96132894832803,133.74494901551313,0.025003897957503796,0.0337666398845613,0.053259,0.046521729324012995,2,2,0,2,0,133.96132894832803,133.74494901551313,0.023931408766657114,0.03252417175099254,0.049517000000000005,0.044701522681862116,2,2,0,2,0,133.96132894832803,133.74494901551313,0.02843036176636815,0.04587082378566265,0.070935,0.07228531735017896,2,2,0,0,1,134.32617080834663,0.073859026,6,2
cvxnonsep_nsig40r,133.9613305,133.9613304719259,0,0.08142508938908577,0.09649899999999993,0,0,133.96126813632867,133.74488859965595,0.03857826115563512,0.1507907109335065,0.056039,0.13998714927583933,2,2,0,2,0,133.96126813632867,133.74488859965595,0.034926146268844604,0.10591564606875181,0.028953,0.10575984744355083,2,2,0,2,0,133.96126813632867,133.74488859965595,0.0392550271935761,0.04602048685774207,0.036921999999999996,0.044982881750911474,2,2,0,0,1,134.42248012388035,0.123382733,5,2
cvxnonsep_pcon20,-21.5123012,-21.500522852152997,0,0.038420652970671654,0.048122,0,0,-21.469437905707228,-21.629610239291956,0.016441859304904938,0.03346706088632345,0.029219,0.04551889235153794,2,2,0,2,0,-21.469437905707228,-21.629610239291956,0.021260377950966358,0.029257501009851694,0.023803,0.04139711754396558,2,2,0,2,0,-21.469437905707228,-21.629610239291956,0.015576099045574665,0.03185153100639582,0.03243,0.04373721545562148,2,2,0,0,1,-21.50052287035874,0.040714526,12,1
cvxnonsep_pcon20r,-21.5123012,-21.50052285200933,0,0.03578981477767229,0.041863,0,0,-21.46943786371748,-21.62961019921222,0.02543917577713728,0.037135057151317596,0.028615,0.04136843141168356,2,2,0,2,0,-21.46943786371748,-21.62961019921222,0.023265257943421602,0.036926780827343464,0.029231999999999998,0.04001546651124954,2,2,0,2,0,-21.46943786371748,-21.62961019921222,0.024285573977977037,0.03709528502076864,0.029958,0.0399368517100811,2,2,0,0,1,-21.433368728362172,0.073014204,14,2
