name,primalbound,dualbound,objsense,cvx_new.obj,cvx_new.dual_obj,cvx_new.load_time,cvx_new.calc_time,cvx_new.solver_time,cvx_new.python_time,cvx_new.iter_nr,cvx_new.NLP_runs,cvx_new.FNLP_runs,cvx_new.MIQP_runs,cvx_new.MILP_runs,cvx_old.obj,cvx_old.dual_obj,cvx_old.load_time,cvx_old.calc_time,cvx_old.iter_nr,cvx_old.NLP_runs,cvx_old.FNLP_runs,cvx_old.MIQP_runs,cvx_old.MILP_runs
fo9_ar4_1,23.46428571,23.46428571,min,23.46428560244757,23.462913671019543,0.5666999192908406,74.65830158162862,74.14457536581904,0.5137262158095837,3.0,11.0,2.0,3.0,1.0,23.464285644021995,23.463207473913105,0.5368057787418365,197.8173849033192,3.0,10.0,6.0,3.0,2.0
fo9_ar5_1,23.46428571,23.46428535,min,24.377976107635643,24.328261820805565,0.5708824656903744,235.6837739888579,235.2518094955012,0.4319644933566451,3.0,11.0,2.0,3.0,2.0,23.464285646558796,23.46428562941077,0.5308055765926838,300.30857876781374,5.0,20.0,11.0,5.0,2.0
gams01,21380.20059,2355.887174,min,21896.709970551117,17468.392619479375,6.937212833203375,300.0701054297388,299.3399536702782,0.7301517594605684,6.0,23.0,1.0,3.0,3.0,21895.54501093042,16453.391403087047,7.2260119235143065,300.06245972029865,5.0,17.0,1.0,3.0,2.0
ibs2,4.452848417,4.452846808,min,inf,inf,,,,,,,,,,inf,inf,,,,,,,
jit1,173983.33,173983.3298,min,173982.61006293277,173345.3768308797,0.21724099107086658,0.0273831943050026,0.0139307659119367,0.0134524283930659,2.0,2.0,0.0,2.0,1.0,173982.61006293277,173345.3768308797,0.20084599126130342,0.0267939325422048,2.0,3.0,0.0,2.0,0.0
m3,37.8,37.8,min,37.79999956991859,37.799963887074206,0.03169339615851641,0.112012536264956,0.085659023374319,0.0263535128906369,2.0,4.0,0.0,2.0,1.0,37.79999956991859,37.799964,0.02849263045936823,0.0888422047719359,2.0,4.0,0.0,2.0,1.0
m6,82.25687691,82.25687691,min,82.25687581013635,82.25677347062704,0.13233337085694075,0.8979631392285228,0.7193024102598429,0.1786607289686799,3.0,8.0,0.0,2.0,2.0,82.25687581013635,82.25675859365595,0.12928617000579834,3.728552927263081,3.0,8.0,0.0,2.0,2.0
m7,106.7568769,106.7568769,min,106.75687555086648,106.75666620415846,0.214280528947711,1.6472121635451913,1.4280247744172812,0.2191873891279101,3.0,7.0,2.0,2.0,2.0,106.75687555086648,106.75675438288017,0.2007325878366828,60.96741892863065,3.0,9.0,0.0,2.0,2.0
m7_ar25_1,143.585,143.585,min,143.58499691440977,143.58472937615966,0.25344410818070173,0.7881794311106205,0.6183807710185647,0.1697986600920558,2.0,6.0,0.0,2.0,1.0,143.58499682759705,143.5847088067657,0.24187366012483835,7.403546429239213,2.0,6.0,0.0,2.0,1.0
m7_ar2_1,190.235,190.235,min,190.2349965243224,190.23499645568432,0.2556515885517001,3.2397812800481915,3.0386308319866657,0.2011504480615258,3.0,9.0,1.0,2.0,2.0,190.2349965243224,190.2346823137662,0.24825055990368128,19.399309667758644,3.0,9.0,1.0,2.0,2.0
