id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
53,chp_shorttermplan2a,1.7976931348623157e+308,245798.28223093529,303.91768732,9,1060,00
54,chp_shorttermplan2b,1.7976931348623157e+308,-1589950.0455156597,388.970167709,13,1040,00
55,chp_shorttermplan2c,1.7976931348623157e+308,-1.7976931348623157e+308,299.910424832,0,1000,00
56,chp_shorttermplan2d,1.7976931348623157e+308,-1605672.0139053906,81.423204063,1,0010,00
57,contvar,809149.81243299181,356430.18400536058,304.931622934,54,210490,00
58,csched1,1.7976931348623157e+308,-321528006.44902003,0.155780532,2,0020,00
59,csched1a,-30279.74713313461,-1.7976931348623157e+308,0.107024222,3,0030,00
60,csched2,1.7976931348623157e+308,-682400764.42573082,3.070070687,3,0030,00
61,csched2a,-143497.09803625662,-1.7976931348623157e+308,0.7455322440000001,9,0090,00
62,deb10,1.7976931348623157e+308,0,308.817753132,31,10310,00
63,deb6,1.7976931348623157e+308,-1.7976931348623157e+308,0.048813325000000005,0,0000,00
64,deb7,1.7976931348623157e+308,0,299.863582071,9,1090,00
65,deb8,1.7976931348623157e+308,0,235.152160861,7,0070,00
66,deb9,1.7976931348623157e+308,0,299.861060096,8,1080,00
67,eg_all_s,9.772046881874104,-65370089487505.109,57.325809789000004,8,00100,00
68,eg_disc2_s,6.029387476772305,-65370089487505.023,172.30801682900002,16,00190,00
69,eg_disc_s,6.0159944589418233,-65370089487505.109,172.75484439,16,00350,00
70,eg_int_s,8.536513265779277,-65370089487504.992,87.71101935200001,8,0080,00
71,eniplac,-127791.53735309266,-245835,2.1924580629999997,26,00160,00
72,ex1221,7.6671800624164419,5.931112091313345,0.085858346,2,0020,00
73,ex1222,1.0765430413715027,0.099999999999999645,0.064574752,1,0010,00
74,ex1224,0,-0.99430989460000008,0.114922705,7,0070,00
75,ex1225,34,27,0.09421135900000001,3,0030,00
76,ex1226,-17.000000006644228,-21,0.075805892,2,0020,00
77,ex1233,191998.24483011843,0,0.87293896,9,0090,00
78,ex1243,129301.61691396052,0,0.271244742,3,0030,00
79,ex1244,83989.233623760752,0,0.50453889,4,0040,00
80,ex1252,134263.58531364441,0,0.852377976,8,00180,00
81,ex1252a,134263.58531364441,0,0.8159018490000001,8,00180,00
82,ex3pb,68.009741341451274,68.009741341451274,67.04410347999999,91,00920,00
83,feedtray,1.7976931348623157e+308,-68.684210523315755,38.934184081000005,1,0010,00
84,fin2bb,0,0,27.167577695000002,13,00330,00
85,fuzzy,NAN,NAN,NAN,NAN,NAN,NAN
86,gams02,1.7976931348623157e+308,1164.8517793359251,56.505634905,7,0080,00
87,gams04,-1.7976931348623157e+308,431807.64514266851,18.569473809,2,0020,00
