id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
75,m7_ar25_1,143.58498612083739,143.58498612083736,0.593742614,3,0010,10
76,m7_ar2_1,190.23497325314347,190.23497325314347,1.616857851,2,0010,10
77,m7_ar3_1,143.58499959895056,143.58499959895056,2.1690850029999997,4,0010,10
78,m7_ar4_1,106.75687691363567,106.75687691363565,0.9845674449999999,3,0010,20
79,m7_ar5_1,106.46000414806531,106.46000414806531,3.56707611,5,0010,20
80,no7_ar25_1,107.8152838342689,107.8152838342689,47.660399141,9,0010,10
81,no7_ar2_1,107.8152712169105,107.8152712169105,21.760422823,5,0010,10
82,no7_ar3_1,107.81456161867357,107.81456161867357,90.40712687,12,0010,10
83,no7_ar4_1,98.518395642717323,98.518395642717309,86.834997075,14,0010,40
84,no7_ar5_1,90.622643351996075,90.622643351996075,120.446470103,7,0010,70
85,o7,131.65311446959532,107.1507606452371,299.99675117699996,21,1000,50
86,o7_2,116.94593010413011,116.94593010413011,238.878109102,15,0010,70
87,o7_ar25_1,140.41190608108397,140.41190608108397,185.055576287,10,0010,10
88,o7_ar2_1,140.4119582741512,140.4119582741512,63.462325867000004,3,0010,10
89,o7_ar3_1,137.93182663959726,123.05025133797319,300.05834705800004,14,1000,10
90,o7_ar4_1,131.6531364785061,107.82651338761239,300.02638843,21,1000,40
91,o7_ar5_1,116.945835067785,116.945835067785,296.829258961,9,0010,110
92,o8_ar4_1,254.97756721510959,177.8887904229766,300.029029069,14,1000,10
93,o9_ar4_1,287.62761290019682,161.25418094020375,299.99562463800004,23,1000,10
94,p_ball_10b_5p_2d_h,18.718576320205841,0,47.391934443,34,00320,00
95,p_ball_10b_5p_3d_h,44.00421361389165,0,223.243098399,65,00630,00
96,p_ball_10b_5p_4d_h,74.212867855541077,0,310.096753073,83,210760,00
97,p_ball_10b_7p_3d_h,1.7976931348623157e+308,0,330.185800674,51,10410,00
98,p_ball_15b_5p_2d_h,6.5998357256012223,0,269.57928917099997,72,00700,00
99,p_ball_20b_5p_2d_h,1.7976931348623157e+308,0,305.768695195,45,10450,00
100,p_ball_20b_5p_3d_h,66.026258642791163,0,306.062888738,35,210350,00
101,p_ball_30b_10p_2d_h,1.7976931348623157e+308,0,303.857287864,28,10280,00
102,p_ball_30b_5p_2d_h,1.7976931348623157e+308,0,304.57426908599996,30,10300,00
103,p_ball_30b_5p_3d_h,1.7976931348623157e+308,0,306.213029063,30,10300,00
104,p_ball_30b_7p_2d_h,1.7976931348623157e+308,0,302.436584622,29,10290,00
105,p_ball_40b_5p_3d_h,1.7976931348623157e+308,0,309.311928582,30,10300,00
106,p_ball_40b_5p_4d_h,1.7976931348623157e+308,0,303.957539883,30,10300,00
107,portfol_buyin,0.029423788743197756,0,0.282259965,13,00130,00
108,portfol_card,0.032217649855338121,0,0.257405327,8,0080,00
109,portfol_roundlot,0.028282830116247965,0,81.30296792499999,227,002190,00
110,procurement2mot,212.07086257477249,212.0742785577946,1.975353253,12,0000,100
111,ravempb,269590.21419013402,265228.75903785293,299.993667464,3,1042770,120
112,risk2bpb,-55.736168500451249,-55.736168504244503,0.091399885,0,0010,30
113,rsyn0805hfsg,1296.120617876812,1878.0761156670746,0.665513032,9,0090,00
114,rsyn0805m,1293.1208676194324,1293.1208676194326,0.154406217,1,0010,40
115,rsyn0805m02hfsg,2238.3954795345844,5227.4555893825927,1.597514517,10,00100,00
116,rsyn0805m02m,2238.0560601258562,2238.0560601258562,0.570287232,4,0010,70
117,rsyn0805m03hfsg,3068.9314601952501,7044.6647185343536,2.122110566,11,00110,00
118,rsyn0805m03m,3064.4725551903116,3064.4725551903116,0.8107296850000001,3,0010,70
119,rsyn0805m04hfsg,7174.2191000349849,11766.357794424657,2.450736461,10,00100,00
120,rsyn0805m04m,7171.3325255948657,7235.0804445545145,0.6373236569999999,2,0010,50
121,rsyn0810hfsg,1721.4477333207381,2565.7603475768447,0.549157796,8,0080,00
122,rsyn0810m,1718.4477111592378,1718.447711159238,0.141487324,0,0010,30
123,rsyn0810m02hfsg,1741.3869077695695,5772.6658087323685,2.268421584,12,00120,00
124,rsyn0810m02m,1738.9305681977808,1755.4931590042061,0.6048696210000001,2,0000,60
125,rsyn0810m03hfsg,2722.4480809570118,8432.2505468882027,2.462600567,7,0070,00
126,rsyn0810m03m,2722.4495139955575,2722.4495139955575,1.201868067,3,0010,50
127,rsyn0810m04hfsg,6581.9345134417963,13446.545200539891,3.140256196,9,0090,00
128,rsyn0810m04m,6581.9368063777492,6581.9368063777492,1.125097769,4,0010,60
129,rsyn0815hfsg,1269.9256699675573,2616.957710270146,0.6921254790000001,6,0060,00
130,rsyn0815m,1269.9259299809326,1269.9259299809326,0.15737068299999998,1,0010,50
131,rsyn0815m02hfsg,1774.3973883227877,6062.4484155383325,2.930304667,11,00110,00
132,rsyn0815m02m,1773.7945029938296,1788.6010062543312,0.547056326,3,0000,50
