name,primalbound,dualbound,objsense,cvx_bonmin.obj,cvx_bonmin.dual_obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_bonmin.NLP_runs,cvx_bonmin.FNLP_runs,cvx_bonmin.MIQP_runs,cvx_bonmin.MILP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time
cvxnonsep_nsig40,133.9613305,133.9613303,min,133.96133047158764,-inf,0,0.090754484757781,,0.0,0.0,0.0,0.0,0.0,0.0,133.96132894832803,133.74494901551313,0.09023159649223089,0.0417932057753205,0.0197375193238258,0.0220556864514946,2.0,2.0,0.0,2.0,1.0,133.96132894832803,135.39798878198906,0.09221853408962488,0.0375496139749884,0.0180795788764953,0.0194700350984931,2.0,2.0,0.0,2.0,0.0,134.0741913052908,133.58221864526118,0.1060740999999999,2,0,50,134.44675364149853,133.1074405799876,0.060442,137.6722249201577,107.3575390080785,301.904182
cvxnonsep_nsig40r,133.9613305,133.9613303,min,133.9613304719259,-inf,0,0.0658027399331331,,0.0,0.0,0.0,0.0,0.0,0.0,133.96126813632867,133.74488859965595,0.053750510327517986,0.2142990585416555,0.0300902696326375,0.184208788909018,2.0,2.0,0.0,2.0,1.0,133.96126813632867,133.74488859965595,0.05670852307230234,0.173239866271615,0.0242169378325343,0.1490229284390807,2.0,2.0,0.0,2.0,0.0,134.0844192352656,133.7678332231296,0.147960631,2,0,50,134.48133896286527,133.164401089979,0.05395,135.27978182853946,133.9610287691967,0.0721229999999999
cvxnonsep_pcon20,-21.5123012,-21.5123012,min,-21.500522852153,-inf,0,0.0297060189768672,,0.0,0.0,0.0,0.0,0.0,0.0,-21.469437905707228,-21.629610239291953,0.0371028296649456,0.030464275740087,0.0146116437390446,0.0158526320010423,2.0,2.0,0.0,2.0,1.0,-21.469437905707228,-21.629610239291953,0.05013098008930683,0.0255800792947411,0.012919689528644,0.012660389766097,2.0,2.0,0.0,2.0,0.0,-21.50052287035874,-21.710512997110655,0.071400971,1,0,120,-21.512301213072213,-21.72727260854014,123.795331,-21.492947436554825,-21.49294743655483,0.049108
cvxnonsep_pcon20r,-21.5123012,-21.5123012,min,-21.50052285200933,-inf,0,0.0251642502844333,,0.0,0.0,0.0,0.0,0.0,0.0,-21.46943786371748,-21.62961019921222,0.027633361518383026,0.0261092195287346,0.0101538142189383,0.0159554053097963,2.0,2.0,0.0,2.0,0.0,-21.46943786371748,-21.62961019921222,0.028580574318766594,0.0265505062416195,0.0104167591780424,0.0161337470635771,2.0,2.0,0.0,2.0,0.0,-21.43336872721057,-21.5206735087147,0.106566601,2,0,140,-21.430580425748875,-21.63845628268142,0.032782,-21.29713726111562,-21.49482207893577,0.018323
cvxnonsep_pcon30,-35.9868423,-35.9868423,min,-35.963756479873595,-inf,0,0.0384786715731024,,0.0,0.0,0.0,0.0,0.0,0.0,-35.947546900386875,-36.15628296632238,0.04647832363843918,0.0377734536305069,0.0178883895277977,0.0198850641027092,2.0,2.0,0.0,2.0,1.0,-35.947546900386875,-36.15628296632238,0.048597538843750954,0.0303835775703191,0.0158791681751608,0.0145044093951582,2.0,2.0,0.0,2.0,0.0,-35.909885601978125,-36.19650612256656,0.070644635,1,0,110,-35.859351722146855,-40.67163737572938,300.021595,-35.95505775099747,-35.95505775099746,0.109582
cvxnonsep_pcon30r,-35.9868423,-35.98684234,min,-35.96375647958273,-inf,0,0.027896917425096,,0.0,0.0,0.0,0.0,0.0,0.0,-35.94754683755864,-36.15628290478362,0.04176084604114294,0.031592427752912,0.011511031538248,0.0200813962146639,2.0,2.0,0.0,2.0,0.0,-35.94754683755864,-36.15628290478362,0.042195096611976624,0.0307617457583546,0.0113498009741306,0.019411944784224,2.0,2.0,0.0,2.0,0.0,-35.986842339738025,-36.01490939598517,0.135836355,2,0,100,-35.77794207319654,-36.12763687100336,0.047493,-35.95505775099747,-35.95505775099746,0.023486
cvxnonsep_pcon40,-46.59916882,-46.59916883,min,-46.59916882301578,-inf,0,0.0718555748462677,,0.0,0.0,0.0,0.0,0.0,0.0,-46.57800468535515,-46.78238836479686,0.0750265596434474,0.0443960921838879,0.0224449569359421,0.0219511352479457,2.0,2.0,0.0,2.0,1.0,-46.57800468535515,-46.78238836479686,0.07673113700002432,0.0397302145138382,0.0208187354728579,0.0189114790409803,2.0,2.0,0.0,2.0,0.0,-46.45141079961174,-46.860864389764416,0.06818833,0,0,90,-45.291493200985954,-57.86659669387343,300.02275,-46.557277025028995,-46.55727702502901,0.067149
cvxnonsep_pcon40r,-46.59916883,-46.59916887,min,-46.599168823726025,-inf,0,0.0426362361758947,,0.0,0.0,0.0,0.0,0.0,0.0,-46.57800460368898,-46.78238828198824,0.05905756074935198,0.1462424090132117,0.0246358187869191,0.1216065902262926,2.0,2.0,0.0,2.0,1.0,-46.57800460368898,-46.78238828198824,0.06059657223522663,0.1626393320038914,0.020284310914576,0.1423550210893154,2.0,2.0,0.0,2.0,0.0,-46.59916889438774,-46.61627118664177,0.241776107,3,0,90,-46.406236122357654,-46.8650304331557,0.041548,-46.21177353148726,-46.57127295270775,0.0322649999999999
cvxnonsep_psig20,93.81138788,93.81138757,min,93.81138766483132,-inf,0,0.0498975105583667,,0.0,0.0,0.0,0.0,0.0,0.0,93.81138766483134,93.73708927503992,0.0279430216178298,0.0254425220191478,0.0110398745164275,0.0144026475027203,2.0,2.0,0.0,2.0,1.0,93.81138766483134,93.73708927503992,0.03747996315360069,0.031909761019051,0.0146170612424612,0.0172926997765898,2.0,2.0,0.0,2.0,0.0,93.87557607433872,93.06689368549264,0.112474972,4,0,110,93.87781259539989,93.30038200796467,0.028605,94.08210006644217,93.21754764057088,0.964031
cvxnonsep_psig20r,95.89738736,95.89738726,min,95.89854942394132,-inf,0,0.0351629853248596,,0.0,0.0,0.0,0.0,0.0,0.0,95.89739532923832,95.80647949893087,0.023653718642890453,0.0356274656951427,0.0127165121957659,0.0229109534993767,2.0,2.0,0.0,2.0,1.0,95.89739532923832,95.80647949893087,0.0322485975921154,0.0269015934318304,0.0107233598828315,0.0161782335489988,2.0,2.0,0.0,2.0,0.0,96.249882006551,95.72354408515876,0.107796346,2,0,80,95.93103746222687,94.97346493358803,0.2798299999999999,95.89738576011396,95.89492063376319,0.09809
