name,primalbound,dualbound,objsense,noncvx_bonmin.obj,noncvx_bonmin.dual_obj,noncvx_bonmin.load_time,noncvx_bonmin.calc_time,noncvx_bonmin.solver_time,noncvx_bonmin.python_time,noncvx_bonmin.iter_nr,noncvx_bonmin.NLP_runs,noncvx_bonmin.FNLP_runs,noncvx_bonmin.MIQP_runs,noncvx_bonmin.MILP_runs,noncvx_sbmiqp.obj,noncvx_sbmiqp.dual_obj,noncvx_sbmiqp.load_time,noncvx_sbmiqp.calc_time,noncvx_sbmiqp.solver_time,noncvx_sbmiqp.python_time,noncvx_sbmiqp.iter_nr,noncvx_sbmiqp.NLP_runs,noncvx_sbmiqp.FNLP_runs,noncvx_sbmiqp.MIQP_runs,noncvx_sbmiqp.MILP_runs,noncvx_sbmiqp_ee.obj,noncvx_sbmiqp_ee.dual_obj,noncvx_sbmiqp_ee.load_time,noncvx_sbmiqp_ee.calc_time,noncvx_sbmiqp_ee.solver_time,noncvx_sbmiqp_ee.python_time,noncvx_sbmiqp_ee.iter_nr,noncvx_sbmiqp_ee.NLP_runs,noncvx_sbmiqp_ee.FNLP_runs,noncvx_sbmiqp_ee.MIQP_runs,noncvx_sbmiqp_ee.MILP_runs,noncvx_shot.obj,noncvx_shot.dual_obj,noncvx_shot.calc_time,noncvx_shot.NLP_runs,noncvx_shot.MIP_runs,noncvx_shot.relaxed_MIP_runs,noncvx_gurobi.obj,noncvx_gurobi.dual_obj,noncvx_gurobi.calc_time,noncvx_scip.obj,noncvx_scip.dual_obj,noncvx_scip.calc_time
autocorr_bern45-34,-152784.0,-558042.9537,min,-151280.0,-inf,0,5.4240032490342855,,0.0,0.0,0.0,0.0,0.0,0.0,-152304.00000000748,-152304.00040051757,28.588610540144145,6.685342889279127,6.503676219843328,0.1816666694357991,2.0,2.0,0.0,2.0,0.0,-152304.00000000748,-152304.00040051757,33.96264571789652,6.630884950980544,6.451252856291831,0.1796320946887135,2.0,2.0,0.0,2.0,0.0,-151256.00000000995,-1437529.5706121228,300.016894999,5,1000,10,-136512,-2825936,6.7781340000000005,0,-5651872.000000002,6.969043
autocorr_bern45-45,-112916.0,-499337.0,min,-111312.0,-inf,0,19.284017832018435,,0.0,0.0,0.0,0.0,0.0,0.0,-112004.0000000075,-112004.00063365376,38.091717722825706,7.021726096048951,6.816169168800116,0.2055569272488355,2.0,2.0,0.0,2.0,0.0,-112004.0000000075,-112004.00063365376,39.60367294587195,9.887317427434027,9.62443387042731,0.2628835570067167,2.0,2.0,0.0,2.0,0.0,-108164.00000000998,-1108302.510378313,299.81522983400004,6,1000,10,0,-2064416,7.173522,0,-100000000000000000000,7.261631
autocorr_bern50-06,-2160.0,-2560.0,min,-2111.99999999999,-inf,0,0.4950229311361909,,0.0,0.0,0.0,0.0,0.0,0.0,-2064.0000000074942,-2064.000024127285,2.88173446431756,0.1450787857174873,0.1257611233741045,0.0193176623433828,2.0,2.0,0.0,2.0,0.0,-2064.0000000074942,-2064.000024127285,2.945876040495932,0.125278933905065,0.1066268822178244,0.0186520516872406,2.0,2.0,0.0,2.0,0.0,-2160.0000000099899,-3687.6335678257801,299.977510761,2,1000,10,-464,-52560,0.157698,-40,-52560.000000001,0.161343
autocorr_bern50-13,-23792.0,-41017.50757,min,-23359.99999999999,-inf,0,2.0752048399299383,,0.0,0.0,0.0,0.0,0.0,0.0,-23564.00000000749,-23564.000000007494,4.878076135180891,1.4347961600869894,1.378188081085682,0.0566080790013074,2.0,2.0,0.0,2.0,1.0,-23564.00000000749,-23564.000137002113,4.783955845981836,1.4758344879373908,1.4255392495542765,0.0502952383831143,2.0,2.0,0.0,2.0,0.0,-23504.000002350542,-141987.98096167971,299.92844548600004,10,1000,10,-21936,-385472,1.477218,-564,-770944,1.493357
autocorr_bern50-25,-125104.0,-415269.219,min,-123776.0,-inf,0,4.124393922276795,,0.0,0.0,0.0,0.0,0.0,0.0,-124268.0000000075,-124268.0000000075,21.13985612988472,4.280957506969571,4.11711398512125,0.1638435218483209,2.0,2.0,0.0,2.0,1.0,-124268.0000000075,-124268.00035780591,20.8753416929394,4.156999544240534,4.012648528441787,0.1443510157987475,2.0,2.0,0.0,2.0,0.0,-123620.00000001001,-1083674.1176470588,300.00068446,7,1000,10,-101244,-2257216,4.366004,0,-4514432.000000002,4.443589
autocorr_bern50-38,-232976.0,-1215757.0,min,-231280.0,-inf,0,11.855050571262836,,0.0,0.0,0.0,0.0,0.0,0.0,-232360.00000000748,-232360.00051332288,43.398214511573315,10.63698219601065,10.387644267641008,0.2493379283696413,2.0,2.0,0.0,2.0,0.0,-232360.00000000748,-232360.00051332288,42.92661076504737,10.70011610072106,10.459362538531424,0.2407535621896386,2.0,2.0,0.0,2.0,0.0,-224552.00000001007,-2377486.6372611923,299.97910264399997,6,1000,10,-177504,-4354344,10.764243,-2664,-8708688,11.039499
autocorr_bern50-50,-168224.0,-930389.0,min,-166296.0,-inf,0,24.79291034769267,,0.0,0.0,0.0,0.0,0.0,0.0,-166680.00000000748,-166680.00000000748,57.03793440852314,10.369604147039354,10.044394237920642,0.3252099091187119,2.0,2.0,0.0,2.0,1.0,-166680.00000000748,-166680.0008920422,56.23703918326646,9.924247349612417,9.636175462976098,0.2880718866363168,2.0,2.0,0.0,2.0,0.0,-162584.00000000998,-1823601.7523114784,299.95292300399996,5,1000,10,0,-6177600,10.526693,0,-100000000000000000000,10.723259
autocorr_bern55-06,-2400.0,-3293.467491,min,-2303.99999999999,-inf,0,0.4547450551763177,,0.0,0.0,0.0,0.0,0.0,0.0,-2304.0000000074942,-2304.0000000074942,4.184981394559145,0.2607745733112097,0.2352703539654612,0.0255042193457484,2.0,2.0,0.0,2.0,1.0,-2304.0000000074942,-2304.00002780273,3.9163111839443445,0.1745632141828537,0.1549137216061353,0.0196494925767183,2.0,2.0,0.0,2.0,0.0,-2400.0000000099899,-4653.5620730840246,299.985384613,1,1000,10,-2040,-58400,0.274696,-2104,-27570.66666666667,0.279341
autocorr_bern55-14,-33272.0,-64287.88098,min,-32927.99999999999,-inf,0,2.8895358722656965,,0.0,0.0,0.0,0.0,0.0,0.0,-32792.000000007494,-32792.00016595195,6.904203463345766,1.7529386589303613,1.6898570023477075,0.0630816565826535,2.0,2.0,0.0,2.0,0.0,-32792.000000007494,-32792.00016595195,6.449195055291057,1.6029504695907235,1.545543127693236,0.0574073418974876,2.0,2.0,0.0,2.0,0.0,-32896.00000000999,-218676.67583994276,299.91495942800003,8,1000,10,-29248,-548016,1.797532,-312,-1096032.000000001,1.824502
autocorr_bern55-28,-191032.0,-700082.4083,min,-189848.0,-inf,0,5.728864724747837,,0.0,0.0,0.0,0.0,0.0,0.0,-189396.00000000748,-189396.00000000748,31.546655296348035,8.218756242655218,7.982923905365169,0.2358323372900486,2.0,2.0,0.0,2.0,1.0,-189396.00000000748,-189396.00047938863,31.00301176402718,7.420583097264171,7.225884101353586,0.1946989959105849,2.0,2.0,0.0,2.0,0.0,-187888.00000001001,-1814322.9461353845,299.834119709,8,1000,10,-154968,-3485664,8.328502,0,-6971328.000000002,8.527344999999999
