id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs,grad_amplified
67,ex1243.nl,98519.01147805208,98519.01147805208,0.058960075955837965,0.4403957552276552,0.407053598202765,0.033342157024890184,2,6,0,2,1,True
68,ex1244.nl,82042.90520973454,82042.90468407198,0.09128411300480366,1.4335684231482446,1.1039395574480295,0.3296288657002151,6,11,1,3,5,True
69,ex1252.nl,134471.56050035323,134406.6927294187,0.045223113149404526,0.4911746089346707,0.40838827611878514,0.08278633281588554,7,15,11,3,6,True
70,ex1252a.nl,134471.5605003532,134471.5605003532,0.03182178223505616,0.22694550035521388,0.1609191531315446,0.06602634722366929,6,11,6,4,5,True
71,ex3pb.nl,68.00974395350963,68.00945021773434,0.02473493665456772,0.36109906900674105,0.22231251746416092,0.13878655154258013,9,28,0,3,8,True
72,feedtray.nl,-13.406005537297986,-13.406005549279207,0.24423864716663957,0.2675436190329492,0.11000036308541894,0.15754325594753027,2,2,0,2,0,True
73,fin2bb.nl,9.735257085812625e-17,1.5259023990765456e-15,4.09552461002022,29.145059214439243,14.039805582724512,15.105253631714731,3,4,0,3,0,True
74,gastrans.nl,89.08583979013146,89.08583978999103,0.1841047308407724,0.3535166890360415,0.21394822653383017,0.13956846250221133,2,2,0,2,0,True
75,gastrans040.nl,0.0,0.0,0.6223101909272373,2.6828940440900624,0.3976990273222327,2.2851950167678297,2,4,0,2,1,True
76,gastrans135.nl,0.0,0.0,9.619401407893747,99.64765269868076,66.47936566360295,33.16828703507781,2,4,1,2,1,True
77,gear4.nl,80.69860536391624,109.2287498035148,0.1638862551189959,0.2760356403887272,0.14924939768388867,0.12678624270483851,6,16,0,6,5,True
78,ghg_1veh.nl,7.7816347774115995,7.781634778727874,0.11651681177318096,0.06786052463576198,0.0485650640912354,0.019295460544526577,2,2,0,2,0,True
79,ghg_2veh.nl,7.770904507805553,7.770904502956747,0.3121710349805653,0.28290870506316423,0.24721813341602683,0.035690571647137403,2,3,0,2,1,True
80,ghg_3veh.nl,7.781124788229996,7.781123129834559,0.6528240819461644,1.9858404221013188,1.7216275269165635,0.2642128951847553,2,3,0,2,1,True
81,gkocis.nl,-1.9230988288847426,-1.9230988288847426,0.0748205678537488,0.06185933202505112,0.029566053301095963,0.032293278723955154,3,5,0,3,2,True
82,hadamard_4.nl,-7.494096406374967e-09,-7.494096406374967e-09,0.04028307506814599,0.01642089383676648,0.006704281084239483,0.009716612752526999,2,2,0,2,0,True
83,hadamard_5.nl,-7.494096406374967e-09,-7.494096406374967e-09,0.23265141900628805,0.02930139610543847,0.013486510142683983,0.015814885962754488,2,2,0,2,0,True
84,hadamard_6.nl,-7.494096406374967e-09,-7.494096406374967e-09,2.2975268880836666,0.14709063712507486,0.10483915777876973,0.04225147934630513,2,2,0,2,0,True
85,hadamard_7.nl,-7.494096406374967e-09,-7.494096406374967e-09,21.03364798799157,1.0450390367768705,0.8225204297341406,0.22251860704272985,2,2,0,2,0,True
86,hadamard_8.nl,-7.494096406374967e-09,-7.494096406374967e-09,246.41894232435152,11.83859616983682,9.191607390530407,2.6469887793064117,2,2,0,2,0,True
87,heatexch_gen1.nl,595268.5021631129,43007.470147727276,29.263499558903277,7.834250209853053,7.506484097335488,0.3277661125175655,2,7,4,2,0,True
88,heatexch_spec1.nl,154997.33363762926,154997.33281645726,0.1611575772985816,0.4427784029394388,0.37175875529646873,0.07101964764297009,3,9,0,3,2,True
89,heatexch_spec2.nl,634976.3287780631,634976.3287780631,0.1047815540805459,0.9555352008901536,0.6851619710214436,0.27037322986871004,2,5,0,2,1,True
90,hybriddynamic_var.nl,1.536415142589554,1.536415142589554,0.10512502025812864,0.31229673977941275,0.08358247810974717,0.22871426166966558,2,3,0,2,1,True
91,johnall.nl,-224.73016203509988,-224.73016203487933,11.988354271277785,4.722586679272354,2.0930247786454856,2.629561900626868,2,3,0,2,0,True
92,kan_peaks_h1_n2_g24.nl,0.7148756042678313,0.7871483054646816,5.435263721738011,30.11788623407483,10.839682383462787,19.278203850612044,2,5,0,2,1,True
93,kan_peaks_h1_n2_g3.nl,-3.1861971782521197,-3.132713756700046,0.9514051279984415,1.296287712175399,0.8335582073777914,0.46272950479760766,2,2,0,2,0,True
94,kan_peaks_h1_n5.nl,0.3584775277017778,0.3584775277017778,16.150128594599664,72.48703327681869,43.496180090121925,28.990853186696768,2,5,0,2,1,True
95,kan_r3_h1_n3.nl,1.2992474008736479,2.034293782647905,5.912329636979848,24.34694965276867,10.533120962791145,13.813828689977527,2,5,0,2,0,True
96,kan_r3_h1_n9.nl,0.6284150103688221,0.6284093432677109,143.56074538407847,127.26314471894875,66.36829933337867,60.89484538557008,2,3,0,2,0,True
97,kan_r5_h1_n3.nl,65.0962356545122,65.09605704973688,5.790151786059141,31.251275134272873,10.182578900363296,21.068696233909577,2,3,0,2,0,True
98,kan_r5_h1_n5.nl,1.9182417804727385,4.057763515796714,18.52560812002048,38.402242672629654,11.782909858971834,26.61933281365782,2,3,0,2,1,True
99,kan_r5_h1_n8.nl,49.51383811020612,53.62325336764769,68.35408113710582,73.55583170289174,25.25283213891089,48.30299956398085,2,3,0,2,0,True
100,kport20.nl,32.93034043881714,32.93032468914489,0.49514731112867594,300.78808187833056,277.17898622807115,23.609095650259405,126,625,606,4,124,True
101,kport40.nl,37.62534754086224,37.37476519917892,0.44044021563604474,5.450363134033978,3.102088487241417,2.348274646792561,3,10,3,2,2,True
102,lip.nl,-5510651.864471845,8.178702023161422e-08,0.11437812587246299,0.2819045577198267,0.2551545309834182,0.026750026736408472,2,4,1,2,1,True
103,mbtd.nl,7.666689539613285,7.424999925059089,376.06736779632047,309.9420073661022,302.8603915371932,7.08161582890898,5,21,0,4,4,True
104,multiplants_mtg1a.nl,-391.6133684244194,-391.5350304344096,14.655731555074453,5.053653978742659,4.3622188456356525,0.6914351331070065,3,11,0,3,1,True
105,multiplants_mtg1b.nl,-450.33452654846917,-450.6880298668749,0.5954264318570495,12.366947622969747,11.765864704735577,0.6010829182341695,3,11,1,3,2,True
106,multiplants_mtg1c.nl,-683.971188563662,-683.9715233568129,0.9199219099245965,5.435344198718667,4.00885699223727,1.4264872064813972,2,6,0,2,1,True
107,multiplants_mtg2.nl,-7086.189444826403,-7086.189444826403,1.3995870132930577,6.333643096033484,4.869344160426408,1.4642989356070757,2,6,0,2,1,True
108,multiplants_mtg5.nl,-5922.519457502908,-5922.519457502908,0.5673332149162889,20.845389876049012,20.019300642888993,0.8260892331600189,3,11,1,3,2,True
109,multiplants_mtg6.nl,-5269.566423850366,-5305.326713046252,1.8574805869720876,91.94827222172171,87.4821318583563,4.466140363365412,2,6,1,2,1,True
110,multiplants_stg1.nl,-354.6631870753053,-358.1831249381034,1.750368868932128,130.79967032233253,115.20842135418206,15.591248968150467,6,24,0,4,5,True
111,multiplants_stg1a.nl,-390.9655226479612,-394.81331806565373,1.7638527750968933,237.49116816278547,212.79992146743461,24.691246695350856,36,164,0,3,35,True
112,multiplants_stg1b.nl,-467.77252650516715,-471.65260106715715,2.4892261400818825,72.69251852622256,55.34026294387877,17.352255582343787,4,16,0,4,3,True
113,multiplants_stg1c.nl,-698.3604877967813,-704.8923518114754,4.538850142154843,94.26837447378784,70.74234412424266,23.52603034954518,11,41,0,3,10,True
