name,primalbound,dualbound,objsense,noncvx_sbmiqp_010.obj,noncvx_sbmiqp_010.dual_obj,noncvx_sbmiqp_010.load_time,noncvx_sbmiqp_010.calc_time,noncvx_sbmiqp_010.solver_time,noncvx_sbmiqp_010.python_time,noncvx_sbmiqp_010.iter_nr,noncvx_sbmiqp_010.NLP_runs,noncvx_sbmiqp_010.FNLP_runs,noncvx_sbmiqp_010.MIQP_runs,noncvx_sbmiqp_010.MILP_runs,noncvx_sbmiqp_010.grad_amplified,noncvx_sbmiqp_015.obj,noncvx_sbmiqp_015.dual_obj,noncvx_sbmiqp_015.load_time,noncvx_sbmiqp_015.calc_time,noncvx_sbmiqp_015.solver_time,noncvx_sbmiqp_015.python_time,noncvx_sbmiqp_015.iter_nr,noncvx_sbmiqp_015.NLP_runs,noncvx_sbmiqp_015.FNLP_runs,noncvx_sbmiqp_015.MIQP_runs,noncvx_sbmiqp_015.MILP_runs,noncvx_sbmiqp_050.obj,noncvx_sbmiqp_050.dual_obj,noncvx_sbmiqp_050.load_time,noncvx_sbmiqp_050.calc_time,noncvx_sbmiqp_050.solver_time,noncvx_sbmiqp_050.python_time,noncvx_sbmiqp_050.iter_nr,noncvx_sbmiqp_050.NLP_runs,noncvx_sbmiqp_050.FNLP_runs,noncvx_sbmiqp_050.MIQP_runs,noncvx_sbmiqp_050.MILP_runs,noncvx_sbmiqp_050.grad_amplified,noncvx_sbmiqp_100.obj,noncvx_sbmiqp_100.dual_obj,noncvx_sbmiqp_100.load_time,noncvx_sbmiqp_100.calc_time,noncvx_sbmiqp_100.solver_time,noncvx_sbmiqp_100.python_time,noncvx_sbmiqp_100.iter_nr,noncvx_sbmiqp_100.NLP_runs,noncvx_sbmiqp_100.FNLP_runs,noncvx_sbmiqp_100.MIQP_runs,noncvx_sbmiqp_100.MILP_runs,noncvx_sbmiqp_100.grad_amplified,noncvx_sbmiqp_500.obj,noncvx_sbmiqp_500.dual_obj,noncvx_sbmiqp_500.load_time,noncvx_sbmiqp_500.calc_time,noncvx_sbmiqp_500.solver_time,noncvx_sbmiqp_500.python_time,noncvx_sbmiqp_500.iter_nr,noncvx_sbmiqp_500.NLP_runs,noncvx_sbmiqp_500.FNLP_runs,noncvx_sbmiqp_500.MIQP_runs,noncvx_sbmiqp_500.MILP_runs,noncvx_sbmiqp_500.grad_amplified
deb8,116.5845592,0.0,min,116.58353464182835,110.58480975313392,5.668848947156221,300.2690708646551,262.68881214782596,37.58025871682912,4,10,1,4,2,True,116.58353464182835,111.72908251299263,4.292639048304409,287.2071092338301,268.10345716867596,19.103652065154165,5,13,2,4,3,116.58353464182835,116.58353464182835,5.7669549458660185,300.2160949748941,262.9401323720813,37.2759626028128,4,10,1,4,2,True,116.58353464182835,111.72908251299263,4.203469108790159,300.0169977140613,269.7929920037277,30.224005710333586,5,13,2,4,3,True,116.58353464182835,111.72908251299263,5.980123070068657,300.8784995349124,267.58838115725666,33.290118377655745,5,12,1,4,3,True
deb9,116.5845592,0.0,min,120.49059750714038,120.49059750714038,4.227860572282225,306.8092613196932,281.01799300825223,25.791268311440945,10,29,17,3,9,True,120.49059750714038,120.49059750714038,4.258039016276598,305.98900791211054,291.8031877214089,14.185820190701634,12,35,21,3,11,120.49059750714038,120.49059750714038,6.695302740205079,308.67383754998446,283.215707316529,25.45813023345545,10,29,17,3,9,True,120.49059750714038,120.49059750714038,4.437125610653311,307.7257598419674,285.57586768176407,22.149892160203308,10,29,17,3,9,True,120.49059750714038,120.49059750714038,4.42711865529418,307.328279171139,284.03597332630306,23.292305844835937,10,29,17,3,9,True
eg_all_s,7.657752093,0.0,min,9.147066204487247,9.147065211997539,18.037750095129013,44.943781255278736,44.15614029718563,0.7876409580931067,5,10,4,3,4,True,9.147066204487247,9.147065211997539,15.616471813991666,39.899326314684004,39.197009393479675,0.7023169212043285,5,10,4,3,4,9.147066204487247,9.147065211997539,18.717744817957282,46.68134328024462,45.83506886800751,0.8462744122371078,5,10,4,3,4,True,9.147066204487247,9.147065211997539,16.530110110063106,49.084622560068965,48.279164880048484,0.8054576800204813,5,10,4,3,4,True,9.147066204487247,9.147065211997539,21.291435167193413,48.138708419166505,47.29407649859786,0.844631920568645,5,10,4,3,4,True
eg_disc2_s,5.64210058,-5.225776378,min,5.642100351878204,5.589901357189715,18.037640972994268,37.80922041879967,37.00592046510428,0.8032999536953866,5,10,0,3,4,True,5.642100351878204,5.589901357189715,18.14006106927991,31.658667587209493,30.984557688701898,0.6741098985075951,5,10,0,3,4,5.642100351878204,5.589901357189715,20.320924852974713,37.692019855137914,36.96167699480429,0.7303428603336215,5,10,0,3,4,True,5.642100351878204,5.589901357189715,19.68596656480804,41.70859298296273,40.86503056855872,0.8435624144040048,5,10,0,3,4,True,5.642100351878204,5.589901357189715,23.652946261689067,39.927984120324254,39.16108130291104,0.7669028174132109,5,10,0,3,4,True
eg_disc_s,5.760539616,-0.2567667014,min,5.760539611019829,5.760539611019829,20.321572323329747,20.287616995163262,19.888919522520155,0.3986974726431072,3,3,1,2,2,True,5.760539611019829,5.760539611019829,18.601253493689,19.402967435773462,19.008162544108927,0.3948048916645348,3,3,1,2,2,5.760539611019829,5.760539611019829,19.66155346017331,23.970267737749964,23.548963096458465,0.42130464129149914,3,3,1,2,2,True,5.760539611019829,5.760539611019829,22.524249638896435,21.654248802922666,21.21969975391403,0.43454904900863767,3,3,1,2,2,True,5.760539611019829,5.760539611019829,19.46360008465126,21.142453148961067,20.73072087811306,0.411732270848006,3,3,1,2,2,True
eg_int_s,6.453103159,0.0,min,7.887242853518402,7.887242853518402,20.459832277148962,242.256785125006,239.93669305043295,2.32009207457304,21,23,19,3,20,True,7.887242853518402,7.887242853518402,17.343483096919954,216.39538715127856,214.24843153636903,2.1469556149095297,21,23,19,3,20,7.887242853518402,7.887242853518402,18.062620621174574,249.45105557329953,247.02213455876336,2.428921014536172,21,23,19,3,20,True,7.887242853518402,7.887242853518402,18.155963310971856,247.12209235783666,244.7685677902773,2.3535245675593615,21,23,19,3,20,True,7.887242853518402,7.887242853518402,22.596725712995976,253.3452054769732,250.83669053949416,2.508514937479049,21,23,19,3,20,True
eniplac,-132117.083,-132117.0,min,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
ex1221,7.667180069,7.667180069,min,7.667180068813135,7.667180061604739,3.106866274960339,0.016002266202121973,0.0069258795119822025,0.00907638669013977,2,2,0,2,0,True,7.667180068813135,7.667180061604739,0.27691049594432116,0.01567466091364622,0.00675849337130785,0.008916167542338371,2,2,0,2,0,7.667180068813135,7.667180061604739,3.136852810624987,0.015801330097019672,0.006963771302253008,0.008837558794766665,2,2,0,2,0,True,7.667180068813135,7.667180061604739,3.101383242290467,0.014893600717186928,0.006543993949890137,0.008349606767296791,2,2,0,2,0,True,7.667180068813135,7.667180061604739,3.158730336930603,0.016410028096288443,0.007140027359127998,0.009270000737160444,2,2,0,2,0,True
ex1222,1.076543083,1.076543083,min,1.076543046303249,1.076543046303249,0.01047903811559081,0.021045962814241648,0.00913568353280425,0.011910279281437397,2,3,0,2,1,True,1.076543046303249,1.076543046303249,0.010882095899432898,0.021139071322977543,0.009178047068417072,0.01196102425456047,2,3,0,2,1,1.076543046303249,1.076543046303249,0.010680618230253458,0.020509437192231417,0.008990919217467308,0.011518517974764109,2,3,0,2,1,True,1.076543046303249,1.076543046303249,0.010133064351975918,0.020110634621232748,0.008764452300965786,0.011346182320266962,2,3,0,2,1,True,1.076543046303249,1.076543046303249,0.011058437637984753,0.02267165621742606,0.009711382444947958,0.012960273772478104,2,3,0,2,1,True
ex1224,-0.9434705,-0.9434705,min,-0.9049614980951736,-0.9049614980951736,0.014035145286470652,0.037694812286645174,0.018394543323665857,0.019300268962979317,3,3,0,2,2,True,-0.9049614980951736,-0.9049614980951736,0.01416874397546053,0.03738466091454029,0.01837115827947855,0.01901350263506174,3,3,0,2,2,-0.9049614980951736,-0.9049614980951736,0.013684330973774195,0.037116320338100195,0.018278845585882664,0.01883747475221753,3,3,0,2,2,True,-0.9049614980951736,-0.9049614980951736,0.01386379823088646,0.03662000875920057,0.018083157017827034,0.01853685174137354,3,3,0,2,2,True,-0.9049614980951736,-0.9049614980951736,0.013785256072878838,0.036865775007754564,0.018054164480417967,0.018811610527336597,3,3,0,2,2,True
